GPS Latitude,GPS Longitude,GPS Altitude,GPS Speed,GPS Accuracy,GPS Orientation,GPS Satellites In Range,Time Since Start,Date,Accelerometer X,Accelerometer Y,Accelerometer Z,Gravity X,Gravity Y,Gravity Z,Gyroscope (Yaw),Gyroscope (Pitch),Gyroscope (Roll),Magnetic Field X,Magnetic Field Y,Magnetic Field Z,Orientation (Yaw),Orientation (Roll),Orientation (Pitch)
52.40681,-1.519685,110.0,52.18871382102763,3.0,45.0,12,0,2026-09-25 10:30:00.000,0.02808028152279242,0.03914309652893011,9.88016026865279,0.0,0.0,9.81,0.005,0.0,0.0,20.0,-15.0,40.0,45.0,0.0,0.0
52.40682,-1.5196699999999999,110.0,52.04127595747078,3.0,45.0,12,100,2026-09-25 10:30:00.000,0.0779236837107392,0.30332900484435066,9.51710702133879,0.0,0.0,9.81,0.005,0.0,0.0,20.0,-15.0,40.0,45.0,0.0,0.0
52.40683000000001,-1.5196549999999998,110.0,51.76775156608619,3.0,45.0,12,200,2026-09-25 10:30:00.000,0.288354814854288,0.3211256235238195,10.081443457838107,0.0,0.0,9.81,0.005,0.0,0.0,20.0,-15.0,40.0,45.0,0.0,0.0
52.40684000000001,-1.5196399999999997,110.0,52.7880842126707,3.0,45.0,12,300,2026-09-25 10:30:00.000,-0.19171365484988956,-0.10479829788026881,9.857967101758007,0.0,0.0,9.81,0.005,0.0,0.0,20.0,-15.0,40.0,45.0,0.0,0.0
52.40685000000001,-1.5196249999999996,110.0,52.723275427448606,3.0,45.0,12,400,2026-09-25 10:30:00.000,0.08295760865390356,-0.13679792647632288,9.677602498678043,0.0,0.0,9.81,0.005,0.0,0.0,20.0,-15.0,40.0,45.0,0.0,0.0
52.406860000000016,-1.5196099999999995,110.0,51.28174753421256,3.0,45.0,12,500,2026-09-25 10:30:00.000,0.036127009867321945,0.24469329247601554,9.719979214340505,0.0,0.0,9.81,0.005,0.0,0.0,20.0,-15.0,40.0,45.0,0.0,0.0
52.40687000000002,-1.5195949999999994,110.0,52.282521579999916,3.0,45.0,12,600,2026-09-25 10:30:00.000,-0.18326508529282248,0.3392964984545333,9.530572942142703,0.0,0.0,9.81,0.005,0.0,0.0,20.0,-15.0,40.0,45.0,0.0,0.0
52.40688000000002,-1.5195799999999993,110.0,52.29184142412613,3.0,45.0,12,700,2026-09-25 10:30:00.000,-0.004589313166120373,0.5310210106257864,10.020162880186088,0.0,0.0,9.81,0.005,0.0,0.0,20.0,-15.0,40.0,45.0,0.0,0.0
52.406890000000026,-1.5195649999999992,110.0,52.26772478887335,3.0,45.0,12,800,2026-09-25 10:30:00.000,-0.42741851191773605,0.46049226028732393,9.638264025018152,0.0,0.0,9.81,0.005,0.0,0.0,20.0,-15.0,40.0,45.0,0.0,0.0
52.40690000000003,-1.519549999999999,110.0,53.80082396260401,3.0,45.0,12,900,2026-09-25 10:30:00.000,0.1051864245576132,-0.005453597028089535,9.449113475247492,0.0,0.0,9.81,0.005,0.0,0.0,20.0,-15.0,40.0,45.0,0.0,0.0
52.40691000000003,-1.519534999999999,110.0,51.605597277345844,3.0,45.0,12,1000,2026-09-25 10:30:00.000,-0.06273530792211501,0.8500383561886047,9.749054614886743,0.0,0.0,9.81,0.005,0.0,0.0,20.0,-15.0,40.0,45.0,0.0,0.0
52.406920000000035,-1.5195199999999989,110.0,52.290368204147086,3.0,45.0,12,1100,2026-09-25 10:30:00.000,0.3926903590431744,0.24404889322936973,9.852425370838288,0.0,0.0,9.81,0.005,0.0,0.0,20.0,-15.0,40.0,45.0,0.0,0.0
52.40693000000004,-1.5195049999999988,110.0,52.29403922328702,3.0,45.0,12,1200,2026-09-25 10:30:00.000,-0.07339301074027056,-0.02528145370947757,9.9185042946042,0.0,0.0,9.81,0.005,0.0,0.0,20.0,-15.0,40.0,45.0,0.0,0.0
52.40694000000004,-1.5194899999999987,110.0,52.166735261821934,3.0,45.0,12,1300,2026-09-25 10:30:00.000,0.3459787818517386,0.05483135169555609,9.930540139934125,0.0,0.0,9.81,0.005,0.0,0.0,20.0,-15.0,40.0,45.0,0.0,0.0
52.406950000000045,-1.5194749999999986,110.0,51.5379008693689,3.0,45.0,12,1400,2026-09-25 10:30:00.000,0.06088789025837058,0.22087330931805899,9.6769939521876,0.0,0.0,9.81,0.005,0.0,0.0,20.0,-15.0,40.0,45.0,0.0,0.0
52.40696000000005,-1.5194599999999985,110.0,53.41614651652333,3.0,45.0,12,1500,2026-09-25 10:30:00.000,0.02470326127962856,0.28480243048747467,9.841956059569952,0.0,0.0,9.81,0.005,0.0,0.0,20.0,-15.0,40.0,45.0,0.0,0.0
52.40697000000005,-1.5194449999999984,110.0,52.03375014951735,3.0,45.0,12,1600,2026-09-25 10:30:00.000,0.02040375107664942,0.16520221247049674,9.708768358670133,0.0,0.0,9.81,0.005,0.0,0.0,20.0,-15.0,40.0,45.0,0.0,0.0
52.406980000000054,-1.5194299999999983,110.0,52.3827217823219,3.0,45.0,12,1700,2026-09-25 10:30:00.000,0.11202940461192153,-0.26608517582364755,10.103981204775833,0.0,0.0,9.81,0.005,0.0,0.0,20.0,-15.0,40.0,45.0,0.0,0.0
52.40699000000006,-1.5194149999999982,110.0,52.18481717121082,3.0,45.0,12,1800,2026-09-25 10:30:00.000,0.24821421739707003,-0.029457672039516436,10.130472163144823,0.0,0.0,9.81,0.005,0.0,0.0,20.0,-15.0,40.0,45.0,0.0,0.0
52.40700000000006,-1.519399999999998,110.0,52.19329393496119,3.0,45.0,12,1900,2026-09-25 10:30:00.000,-0.036587250085355454,0.2524232620245178,9.669148281896398,0.0,0.0,9.81,0.005,0.0,0.0,20.0,-15.0,40.0,45.0,0.0,0.0
52.407010000000064,-1.519384999999998,110.0,53.20889608999271,3.0,45.0,12,2000,2026-09-25 10:30:00.000,0.21073035869626222,0.04424598842334196,9.929654180142348,0.0,0.0,9.81,0.005,0.0,0.0,20.0,-15.0,40.0,45.0,0.0,0.0
52.40702000000007,-1.5193699999999979,110.0,51.84284797419514,3.0,45.0,12,2100,2026-09-25 10:30:00.000,0.08053063934262016,-0.18266536689281201,9.66546386172751,0.0,0.0,9.81,0.005,0.0,0.0,20.0,-15.0,40.0,45.0,0.0,0.0
52.40703000000007,-1.5193549999999978,110.0,51.525440236626544,3.0,45.0,12,2200,2026-09-25 10:30:00.000,-0.1189119658338367,0.01743599184544803,9.899775863321683,0.0,0.0,9.81,0.005,0.0,0.0,20.0,-15.0,40.0,45.0,0.0,0.0
52.40704000000007,-1.5193399999999977,110.0,51.898936166500654,3.0,45.0,12,2300,2026-09-25 10:30:00.000,-0.06440504020545422,0.17162058146158432,9.714367064089052,0.0,0.0,9.81,0.005,0.0,0.0,20.0,-15.0,40.0,45.0,0.0,0.0
